Product,Price,fecha
Nipagin Metilparabeno,22008.1,
Carbopol Acrypol 940,24771.43,
Trietanolamina 85%,6470.95,
Glicerina Refinada Alimenticia,3858.25,
COSTO_POTE,987.5562499999999,2026-02-10 00:43:48.305346
Nipagin Metilparabeno,22008.1,
Carbopol Acrypol 940,24771.43,
Trietanolamina 85%,6470.95,
Glicerina Refinada Alimenticia,3858.25,
COSTO_POTE,987.5562499999999,2026-02-10 00:45:47.727444
Nipagin Metilparabeno,22008.1,
Carbopol Acrypol 940,24771.43,
Trietanolamina 85%,6470.95,
Glicerina Refinada Alimenticia,3858.25,
COSTO_POTE,987.5562499999999,2026-02-10 01:09:39.445591
Nipagin Metilparabeno,22008.1,
Carbopol Acrypol 940,24771.43,
Trietanolamina 85%,6470.95,
Glicerina Refinada Alimenticia,3858.25,
COSTO_POTE,987.5562499999999,2026-02-10 01:16:00.322650
Nipagin Metilparabeno,22008.1,
Carbopol Acrypol 940,24771.43,
Trietanolamina 85%,6470.95,
Glicerina Refinada Alimenticia,3858.25,
COSTO_POTE,987.5562499999999,2026-02-10 01:22:01.673519
Nipagin Metilparabeno,22008.1,
Carbopol Acrypol 940,24771.43,
Trietanolamina 85%,6470.95,
Glicerina Refinada Alimenticia,3858.25,
COSTO_POTE,987.5562499999999,2026-02-10 01:38:53.570788
Nipagin Metilparabeno,22008.1,
Carbopol Acrypol 940,24771.43,
Trietanolamina 85%,6470.95,
Glicerina Refinada Alimenticia,3858.25,
COSTO_POTE,987.5562499999999,2026-02-10 01:46:15.187179
Nipagin Metilparabeno,22008.1,
Carbopol Acrypol 940,24771.43,
Trietanolamina 85%,6470.95,
Glicerina Refinada Alimenticia,3858.25,
COSTO_POTE,987.5562499999999,2026-02-10 01:49:22.763365
Nipagin Metilparabeno,22008.1,
Carbopol Acrypol 940,24771.43,
Trietanolamina 85%,6470.95,
Glicerina Refinada Alimenticia,3858.25,
COSTO_POTE,987.5562499999999,2026-02-10 01:54:03.268777
Nipagin Metilparabeno,21856.67,
Carbopol Acrypol 940,24600.95,
Trietanolamina 85%,6426.67,
Glicerina Refinada Alimenticia,3832.19,
COSTO_POTE,980.7786,2026-02-10 14:55:30.041755
Nipagin Metilparabeno,21856.67,
Carbopol Acrypol 940,24600.95,
Trietanolamina 85%,6426.67,
Glicerina Refinada Alimenticia,3832.19,
COSTO_POTE,980.7786,2026-02-10 18:06:07.472740
Nipagin Metilparabeno,21856.67,
Carbopol Acrypol 940,24600.95,
Trietanolamina 85%,6426.67,
Glicerina Refinada Alimenticia,3832.19,
COSTO_POTE,980.7786,2026-02-10 18:37:31.892257
Nipagin Metilparabeno,21856.67,
Carbopol Acrypol 940,24600.95,
Trietanolamina 85%,6426.67,
Glicerina Refinada Alimenticia,3832.19,
COSTO_POTE,980.7786,2026-02-10 21:05:57.575994
Nipagin Metilparabeno,21629.34,
Carbopol Acrypol 940,24345.03,
Trietanolamina 85%,6360.07,
Glicerina Refinada Alimenticia,3792.9,
COSTO_POTE,970.5966999999999,2026-02-11 05:46:28.760506
Nipagin Metilparabeno,21629.34,
Carbopol Acrypol 940,24345.03,
Trietanolamina 85%,6360.07,
Glicerina Refinada Alimenticia,3792.9,
COSTO_POTE,970.5966999999999,2026-02-11 15:17:41.157646
Nipagin Metilparabeno,21553.44,
Carbopol Acrypol 940,24259.61,
Trietanolamina 85%,6337.75,
Glicerina Refinada Alimenticia,3792.9,
COSTO_POTE,967.5237000000001,2026-02-12 05:21:15.475161
Nipagin Metilparabeno,21553.44,
Carbopol Acrypol 940,24259.61,
Trietanolamina 85%,6337.75,
Glicerina Refinada Alimenticia,3779.69,
COSTO_POTE,967.1934500000001,2026-02-12 15:08:33.869782
Nipagin Metilparabeno,21553.44,
Carbopol Acrypol 940,24174.36,
Trietanolamina 85%,6315.61,
Glicerina Refinada Alimenticia,3779.69,
COSTO_POTE,964.5087000000001,2026-02-13 05:14:48.505092
Nipagin Metilparabeno,21477.72,
Carbopol Acrypol 940,24174.36,
Trietanolamina 85%,6315.61,
Glicerina Refinada Alimenticia,3766.65,
COSTO_POTE,963.8041000000001,2026-02-13 14:29:54.875600
